source              ,target              ,articles
1917756763019387826 ,633087338846443428  ,2936
1932551752666018672 ,-319213317550603216 ,11823
2605366745580009142 ,1943401871528076639 ,1542
3018477597755113547 ,-2030977886066610622,5284
4093862199957464441 ,7637037118574180081 ,1036
4109688446981792170 ,5938483825255926276 ,1145
4184381332395750060 ,298627900943414666  ,1382
5805385331953026650 ,1030373636060469033 ,1239
6112367272880199254 ,-2030977886066610622,1326
6891633248965691680 ,-7267829967023066942,1133
7382512290625123343 ,-8714613529726824628,2019
8693094688026702427 ,-232442968513540034 ,1034
8984620194342160184 ,-4678795136086809460,1803
-8778605200936573775,-1861103706999304260,1031
-8706916677913996911,-4503942782607555752,1366
-8702971161602665376,-814913746738782376 ,1961
-6340090656587306807,2995836344708591032 ,1029
-5757544779208025218,6476916968358473459 ,1354
-5123806391895283158,-232442968513540034 ,6018
-5123806391895283158,621769423853112643  ,2770
-4729589068185710698,-7512783134188039914,1449
-1652469311467641984,-554187375508143523 ,1074
-1216926964751179433,-319213317550603216 ,1702
-753292883416164054 ,-1808812747603547780,1464
-703758798842958219 ,-4678795136086809460,1364
-319213317550603216 ,-4399356968157604483,1039
-319213317550603216 ,1999713366976756022 ,1731
-319213317550603216 ,3861547997062544005 ,1141
-319213317550603216 ,8735549545327376262 ,1988
-232442968513540034 ,2534425727654152746 ,1398
-195293542193935170 ,4598025016433322182 ,1126
187123691878182345  ,-2030977886066610622,3637
284779834664144711  ,4420057763900089647 ,1303
351689780619130825  ,-319213317550603216 ,3265
523098992404713312  ,1098278059664356283 ,5868
633087338846443428  ,-5044865441892422651,1035
633087338846443428  ,5690402462881397655 ,1025
1544717718399102752 ,-8354583715484812084,1071
2235637275526571256 ,-441503973431915681 ,4475
3815815919996108488 ,8848501731074738718 ,1241
4008734897837165765 ,5690402462881397655 ,3066
4598025016433322182 ,-3922507348792021692,2540
5669810817728340014 ,6159299216786126563 ,1160
6667001337750354055 ,-5123806391895283158,1835
8221521381664606233 ,-2030977886066610622,5055
8366353836417263554 ,-8087340096537787169,1116
8505632942591836846 ,-1652469311467641984,1229
8886822588958539707 ,-319213317550603216 ,1242
9014183989093063301 ,-5123806391895283158,3764
-9156255397278359948,5343072700314243820 ,3234
-8987850060965433138,4627523996172999934 ,1319
-8714613529726824628,-2498084582014429470,1320
-8306920077234587998,476135616677260618  ,2721
-7515309291958133185,-232442968513540034 ,1625
-7241306346921812835,-2030977886066610622,1961
-6862812080889638013,-319213317550603216 ,1715
-5862124489111824165,7871747628767178370 ,2371
-5546905861789152862,3815815919996108488 ,1958
-5123806391895283158,-5960365032131816100,1072
-4584259589746295249,-5123806391895283158,2426
-4499519178490962713,6381873041093583154 ,2307
